Event Name,Athlete Name,Team,Mark,Event Type
SP,"Van Zyl, Cathlene",Montana (F),13.00m,Individual
WT,"Clark, Ariel",Montana (F),17.87m,Individual
Pent,"Morrison, Whitney",Montana (F),3552,Individual
60,"Barbery, Noah",Montana State (M),6.80,Individual
200,"Grundy, Jett",Montana State (M),21.51,Individual
300,"Grundy, Jett",Montana State (M),34.91,Individual
400,"Grundy, Jett",Montana State (M),47.01,Individual
600,"Gilman, Tyler",Montana State (M),1:24.57,Individual
800,"Cramb, Harvey",Montana State (M),1:50.58#@,Individual
1000,"Paletti, Nicola",Montana State (M),2:42.40,Individual
Mile,"McManus, Rob",Montana State (M),4:02.48,Individual
3000,"McManus, Rob",Montana State (M),8:06.39,Individual
5000,"Perrin, Ben",Montana State (M),13:50.98,Individual
60H,"Paletti, Nicola",Montana State (M),8.32,Individual
4x400,"Michael Swan Jr., Sean Jackson, Tyler Gilman, Jett Grundy",Montana State (M),3:12.38,Relay
DMR,"Sam Ells, Sean Jackson, Levi Taylor, Rob McManus",Montana State (M),9:50.22,Relay
HJ,"Paletti, Nicola",Montana State (M),2.00m,Individual
PV,"Wilson, Colby",Montana State (M),5.42m,Individual
LJ,"Nkeonye, Destiny",Montana State (M),7.37m,Individual
TJ,"Nkeonye, Destiny",Montana State (M),14.67m,Individual
SP,"Holmquist, Talon",Montana State (M),16.76m,Individual
WT,"Jackman, Elijah",Montana State (M),20.26m,Individual
Hep,"Paletti, Nicola",Montana State (M),5437,Individual
60,"Wolff, Jaeden",Montana State (F),7.43@,Individual
200,"Wolff, Jaeden",Montana State (F),24.00,Individual
300,"Garrison, Peyton",Montana State (F),39.32,Individual
400,"Hawkes, Caroline",Montana State (F),53.58,Individual
600,"Smith, Madison",Montana State (F),1:33.08,Individual
800,"Zorn, Jada",Montana State (F),2:10.91,Individual
Mile,"Gilbreth, Grace",Montana State (F),4:44.00#@,Individual
3000,"Christopher-Moody, Kyla",Montana State (F),9:31.58,Individual
5000,"Christopher-Moody, Kyla",Montana State (F),16:42.19,Individual
60H,"Schweyen, Shelby",Montana State (F),8.94,Individual
4x400,"Peyton Garrison, Madison Smith, Giulia Gandolfi, Caroline Hawkes",Montana State (F),3:38.69,Relay
DMR,"Ava Weems, Jadyn VanDyken, Mya Dube, Kendra Lusk",Montana State (F),11:41.10,Relay
HJ,"Schweyen, Shelby",Montana State (F),1.71m,Individual
PV,"Brown, Maisee",Montana State (F),4.20m,Individual
LJ,"Coey, Hailey",Montana State (F),5.96m,Individual
TJ,"Brisendine, Taylor",Montana State (F),12.14m,Individual
SP,"Brewster, Sydney",Montana State (F),15.45m,Individual
WT,"Brewster, Sydney",Montana State (F),16.82m,Individual
Pent,"Schweyen, Shelby",Montana State (F),3817,Individual
60,"Migani, Diemerci",Portland State (M),7.08,Individual
200,"Migani, Diemerci",Portland State (M),23.29,Individual
300,"Migani, Diemerci",Portland State (M),36.77,Individual
400,"Ahmed, Amir",Portland State (M),52.12,Individual
600,"Abade, Abdi",Portland State (M),1:23.23,Individual
800,"Abade, Abdi",Portland State (M),1:56.44,Individual
1000,"Abade, Abdi",Portland State (M),2:41.93,Individual
Mile,"Ibrahim, Abdi",Portland State (M),4:16.93,Individual
3000,"Ibrahim, Abdi",Portland State (M),8:21.67,Individual
5000,"Ibrahim, Abdi",Portland State (M),14:54.42,Individual
4x400,"Abdi Abade, Amir Ahmed, Tom Thake, Ian Parks",Portland State (M),3:48.95,Relay
DMR,"Abdi Abade, Diemerci Migani, Amir Ahmed, Abdi Ibrahim",Portland State (M),10:12.61,Relay
HJ,"Niyongere, Edward",Portland State (M),1.84m,Individual
LJ,"Migani, Diemerci",Portland State (M),7.00m,Individual
TJ,"Migani, Diemerci",Portland State (M),14.07m,Individual
SP,"Meucci, Noah",Portland State (M),13.87m,Individual
WT,"Meucci, Noah",Portland State (M),14.40m,Individual
200,"Rideout, Ocean",Portland State (F),27.88,Individual
300,"Peterson, Ashley",Portland State (F),44.04,Individual
400,"Peterson, Ashley",Portland State (F),1:00.75,Individual
600,"Capozzi, Addison",Portland State (F),1:45.68,Individual
800,"Beghin, Laura",Portland State (F),2:15.93,Individual
1000,"Beghin, Laura",Portland State (F),3:00.28,Individual
Mile,"Beghin, Laura",Portland State (F),5:01.64,Individual
3000,"Beghin, Laura",Portland State (F),10:13.11,Individual
4x400,"Ashley Peterson, Ania Kapustka, Campbell Faust, Laura Beghin",Portland State (F),4:12.64,Relay
DMR,"Campbell Faust, Ania Kapustka, Ashley Peterson, Laura Beghin",Portland State (F),12:53.65,Relay
HJ,"Calvin-Stupfel, Alison",Portland State (F),1.64m,Individual
LJ,"Calvin-Stupfel, Alison",Portland State (F),4.87m,Individual
60,"Dahdouh, Stephen",Sacramento St. (M),6.85,Individual
200,"Rider, Nathan",Sacramento St. (M),21.76,Individual
400,"Cox, Malachi",Sacramento St. (M),48.03,Individual
600,"Hill, Irven",Sacramento St. (M),1:23.41,Individual
800,"Hill, Irven",Sacramento St. (M),1:58.76,Individual
1000,"Braun, Joshua",Sacramento St. (M),2:52.35,Individual
Mile,"Moreno, Brandon",Sacramento St. (M),4:07.75,Individual
3000,"Moreno, Brandon",Sacramento St. (M),8:24.94,Individual
60H,"Dahdouh, Stephen",Sacramento St. (M),8.00,Individual
4x400,"Zachary Winger, Malachi Cox, Nathan Rider, Irven Hill",Sacramento St. (M),3:19.87,Relay
HJ,"Grant, Miles",Sacramento St. (M),2.08m,Individual
PV,"Gibbs, John",Sacramento St. (M),4.56m,Individual
LJ,"Mitchell, Mason",Sacramento St. (M),7.11m,Individual
TJ,"Gibbs, John",Sacramento St. (M),14.32m,Individual
SP,"Godfrey, Leland",Sacramento St. (M),14.44m,Individual
WT,"Maka, John",Sacramento St. (M),16.67m,Individual
Hep,"Charlton, Jack",Sacramento St. (M),4846,Individual
60,"Ewell, Zoe",Sacramento St. (F),7.50,Individual
200,"Ewell, Zoe",Sacramento St. (F),24.85,Individual
400,"Stredic, Brei'ja",Sacramento St. (F),55.97@,Individual
800,"Lawrence, Mia",Sacramento St. (F),2:11.37,Individual
Mile,"Gee, Dani",Sacramento St. (F),5:04.31,Individual
3000,"Gee, Dani",Sacramento St. (F),9:59.08,Individual
60H,"Fitzgerald, Ava",Sacramento St. (F),8.49,Individual
4x400,"Brei'ja Stredic, Daysha Ford, Dominique Abbott, Emily Giddens",Sacramento St. (F),3:46.55,Relay
DMR,"Ashley Busienei, Emily Giddens, Mia Lawrence, Dani Gee",Sacramento St. (F),12:01.87,Relay
HJ,"Leonard, Izzi",Sacramento St. (F),1.70m,Individual
PV,"Chavez, Leah",Sacramento St. (F),3.15m,Individual
LJ,"Ramos, Tamia",Sacramento St. (F),5.85m,Individual
TJ,"Croffet, Alexia",Sacramento St. (F),12.27m,Individual
SP,"Meder, Abigail",Sacramento St. (F),13.67m,Individual
WT,"Espinoza, Breanna",Sacramento St. (F),15.86m,Individual
Pent,"Coburn, Eliana",Sacramento St. (F),3630,Individual
55,"Rampete, Khutsisa",Idaho State (M),6.51,Individual
60,"Rampete, Khutsisa",Idaho State (M),6.84,Individual
200,"Rampete, Khutsisa",Idaho State (M),21.28,Individual
400,"Uth, Niklas",Idaho State (M),48.82@,Individual
800,"Burch, Brody",Idaho State (M),1:52.81@,Individual
Mile,"Smith, Cade",Idaho State (M),4:09.81,Individual
3000,"Smith, Cade",Idaho State (M),8:23.65,Individual
5000,"Babbel, Seth",Idaho State (M),14:29.78,Individual
55H,"Cox, Zachary",Idaho State (M),7.49,Individual
60H,"Cox, Zachary",Idaho State (M),7.86,Individual
4x400,"Braxton Hurst, Alex Conner, Brody Burch, Niklas Uth",Idaho State (M),3:16.52,Relay
DMR,"Dallin Bird, Niklas Uth, Sunny Gunn, Cade Smith",Idaho State (M),9:59.26,Relay
HJ,"Garcia, Anthony",Idaho State (M),2.03m,Individual
PV,"Ricks, Cade",Idaho State (M),5.04m,Individual
SP,"Wadley, Jay",Idaho State (M),16.66m,Individual
WT,"Tirado-Sanchez, Axel",Idaho State (M),19.09m,Individual
55,"Martin, Kyndal",Idaho State (F),7.27,Individual
60,"Hill, Mikaela",Idaho State (F),7.68@,Individual
200,"Martin, Kyndal",Idaho State (F),24.68@,Individual
400,"Smith, Tenleigh",Idaho State (F),57.29,Individual
800,"Timmons, Presley",Idaho State (F),2:08.98,Individual
Mile,"Timmons, Presley",Idaho State (F),4:57.61,Individual
3000,"Vasquez, Cassandra",Idaho State (F),10:00.27,Individual
5000,"Vasquez, Cassandra",Idaho State (F),17:23.10,Individual
55H,"Martin, Kyndal",Idaho State (F),7.83,Individual
60H,"Martin, Kyndal",Idaho State (F),8.28,Individual
4x400,"Tenleigh Smith, Josie Settle, Presley Timmons, Kyndal Martin",Idaho State (F),3:48.96,Relay
DMR,"Madi Kenyon, Tenleigh Smith, Alexis Brauer, Cassandra Vasquez",Idaho State (F),12:03.45,Relay
HJ,"Sylvester, Kapri",Idaho State (F),1.75m,Individual
PV,"Davis, Brielle",Idaho State (F),4.16m,Individual
LJ,"Settle, Josie",Idaho State (F),5.80m,Individual
TJ,"Settle, Josie",Idaho State (F),11.20m,Individual
SP,"Moore, Megan",Idaho State (F),13.89m,Individual
WT,"Wilensky, Sarah",Idaho State (F),18.77m,Individual
Pent,"Settle, Josie",Idaho State (F),3668,Individual
55,"Cortes, Bryson",Weber State (M),6.58,Individual
60,"Wheeler, Alex",Weber State (M),6.92@,Individual
200,"Wheeler, Alex",Weber State (M),21.43,Individual
400,"Barger, Orion",Weber State (M),47.52,Individual
500,"Barger, Orion",Weber State (M),1:03.08,Individual
800,"Winter, Bronson",Weber State (M),1:52.01,Individual
1000,"Smith, Jed",Weber State (M),2:44.20,Individual
Mile,"Winter, Bronson",Weber State (M),4:02.15,Individual
3000,"Visser, Peter",Weber State (M),7:53.99,Individual
5000,"Visser, Peter",Weber State (M),13:57.79,Individual
55H,"Johansen, Ben",Weber State (M),8.10,Individual
60H,"Johnson, Malik",Weber State (M),8.43@,Individual
4x400,"Rodee Brow, Alex Wheeler, Colby Anderson, Orion Barger",Weber State (M),3:11.44,Relay
DMR,"Kelton Gagnon, Orion Barger, Colter Blanchard, Bronson Winter",Weber State (M),9:52.58,Relay
HJ,"Thomas, Kale",Weber State (M),2.02m,Individual
PV,"Smith, Jed",Weber State (M),4.94m,Individual
LJ,"Harry, Xakai",Weber State (M),7.55m,Individual
SP,"Jacobsen, Dawson",Weber State (M),14.94m,Individual
WT,"Molina, Jeims",Weber State (M),18.01m,Individual
Hep,"Smith, Jed",Weber State (M),5155,Individual
55,"Devers, Jasmine",Weber State (F),7.19,Individual
60,"Hancock, Abby",Weber State (F),7.65@,Individual
200,"Hancock, Abby",Weber State (F),24.78@,Individual
300,"Chapman, Angelyca",Weber State (F),41.12,Individual
400,"Chapman, Angelyca",Weber State (F),55.37@,Individual
500,"Chapman, Angelyca",Weber State (F),1:14.78,Individual
800,"Aberg, Sandra",Weber State (F),2:15.53,Individual
Mile,"Bailey, Hannah",Weber State (F),5:00.02,Individual
3000,"Hagelin, Saga",Weber State (F),9:37.18,Individual
5000,"Murphy, Laurie",Weber State (F),17:11.92,Individual
55H,"Walz, Payge",Weber State (F),8.23,Individual
60H,"Walz, Payge",Weber State (F),8.53,Individual
4x400,"Angelyca Chapman, Payge Walz, Jasmine Devers, Makayla Oliver",Weber State (F),3:48.50,Relay
DMR,"Hannah Bailey, Eliza Smith, Sandra Aberg, Saga Hagelin",Weber State (F),11:44.27,Relay
HJ,"Triplett, Abby",Weber State (F),1.68m,Individual
LJ,"Littlewood, Elizabeth",Weber State (F),5.74m,Individual
SP,"Pulotu, Kapua",Weber State (F),14.99m,Individual
WT,"Rothenbuhler, Dawson",Weber State (F),16.26m,Individual
Pent,"Littlewood, Elizabeth",Weber State (F),3659,Individual
60,"Hassan, Khamis",Northern Arizona (M),6.72,Individual
200,"Smith, Kyle",Northern Arizona (M),21.60@,Individual
400,"Anderson, Joshua",Northern Arizona (M),48.38@,Individual
800,"Sahlman, Colin",Northern Arizona (M),1:47.48,Individual
1000,"Easton, Caleb",Northern Arizona (M),2:30.97,Individual
Mile,"Sahlman, Colin",Northern Arizona (M),3:53.17,Individual
3000,"Las Heras, Aaron",Northern Arizona (M),7:37.26,Individual
5000,"Young, Nico",Northern Arizona (M),12:57.14,Individual
60H,"Givens, Trenton",Northern Arizona (M),7.86,Individual
4x400,"Tyson Givens, Trenton Givens, Cannon Booker, Joshua Anderson",Northern Arizona (M),3:13.96@,Relay
DMR,"Colin Sahlman, Trenton Givens, Theo Quax, Nico Young",Northern Arizona (M),9:17.43,Relay
LJ,"Effing, Mitchell",Northern Arizona (M),7.81m,Individual
TJ,"Effing, Mitchell",Northern Arizona (M),16.02m,Individual
SP,"Bays, Parker",Northern Arizona (M),17.70m,Individual
WT,"Bernt, Garret",Northern Arizona (M),22.93m,Individual
60,"Duke, LaTrouchka",Northern Arizona (F),7.38,Individual
200,"Wilson, Madeline",Northern Arizona (F),23.16@,Individual
400,"Reigh, Kyairra",Northern Arizona (F),53.00,Individual
800,"Congdon, Maggi",Northern Arizona (F),2:02.20,Individual
Mile,"Congdon, Maggi",Northern Arizona (F),4:30.24,Individual
3000,"Churchill, Alyson",Northern Arizona (F),8:55.02,Individual
5000,"Larkin, Gracelyn",Northern Arizona (F),15:34.04,Individual
60H,"Rucker, Jyntry",Northern Arizona (F),8.79@,Individual
4x400,"LiNay Perry, Madeline Wilson, Kyairra Reigh, Maggi Congdon",Northern Arizona (F),3:38.59,Relay
DMR,"Ava Mitchell, Hannah Schmidt, Bryn Morley, Maggi Congdon",Northern Arizona (F),11:38.55,Relay
LJ,"Wilson, Madeline",Northern Arizona (F),5.92m,Individual
TJ,"Rodriguez, Brenna",Northern Arizona (F),12.38m,Individual
SP,"Diggs, Alaina",Northern Arizona (F),16.02m,Individual
WT,"Horne-Kemp, Sariyah",Northern Arizona (F),19.02m,Individual
60,"Phennicie, Kristian",Eastern Washington (M),6.74,Individual
200,"Phennicie, Kristian",Eastern Washington (M),21.56,Individual
400,"Higgins, Owen",Eastern Washington (M),51.34,Individual
600,"Higgins, Owen",Eastern Washington (M),1:20.80,Individual
800,"Higgins, Owen",Eastern Washington (M),1:51.38,Individual
1000,"Hughes, Colin",Eastern Washington (M),2:40.11,Individual
Mile,"Lemon, Marcus",Eastern Washington (M),4:13.95,Individual
3000,"Lemon, Marcus",Eastern Washington (M),8:18.41,Individual
5000,"McChesney, Cam",Eastern Washington (M),15:13.00,Individual
60H,"Lee, Rusty",Eastern Washington (M),8.39,Individual
4x400,"Dalton Wild, Owen Higgins, Alec Kness, Colin Hughes",Eastern Washington (M),3:20.41,Relay
DMR,"Alec Kness, Lucas Robert, Danny Maxwell, Austin Steed",Eastern Washington (M),10:13.63,Relay
HJ,"Teevens, Cody",Eastern Washington (M),1.85m,Individual
PV,"Klobutcher, Zach",Eastern Washington (M),5.24m,Individual
LJ,"Jamison, Wayne",Eastern Washington (M),6.62m,Individual
TJ,"Cunningham, Nicholas",Eastern Washington (M),13.27m,Individual
SP,"Fillis, Bradley",Eastern Washington (M),16.58m,Individual
WT,"Fillis, Bradley",Eastern Washington (M),18.01m,Individual
Hep,"Teevens, Cody",Eastern Washington (M),4969,Individual
60,"Koetje, Jordan",Eastern Washington (F),7.78,Individual
200,"Blue, Takiyah",Eastern Washington (F),24.85,Individual
400,"Knight, Madelyn",Eastern Washington (F),56.30,Individual
600,"Davies, Rhiannon",Eastern Washington (F),1:42.31,Individual
800,"Martinez, Faith",Eastern Washington (F),2:16.24,Individual
Mile,"Sanders, Sara",Eastern Washington (F),5:00.43,Individual
3000,"Fetzer, Lilly",Eastern Washington (F),9:54.62,Individual
5000,"Linnenburger, Ellie",Eastern Washington (F),17:17.95,Individual
60H,"Knight, Madelyn",Eastern Washington (F),8.37,Individual
4x400,"Madelyn Knight, Takiyah Blue, Sydney Thweatt, Rhiannon Davies",Eastern Washington (F),3:52.28,Relay
DMR,"Kaylin Sheley, Takiyah Blue, Jenni Bissell, Sara Sanders",Eastern Washington (F),11:54.89,Relay
HJ,"Bruno, Grace",Eastern Washington (F),1.71m,Individual
PV,"Schultz, Savannah",Eastern Washington (F),4.19m,Individual
LJ,"Simmons, Caitlin",Eastern Washington (F),6.09m,Individual
TJ,"Simmons, Caitlin",Eastern Washington (F),12.75m,Individual
SP,"Fonoti, Dyvhine",Eastern Washington (F),13.04m,Individual
WT,"Fonoti, Dyvhine",Eastern Washington (F),16.89m,Individual
Pent,"Macdonald, Sydney",Eastern Washington (F),2659,Individual
60,"Finnegan, Luke",Butler (M),6.82,Individual
200,"Finnegan, Luke",Butler (M),21.22,Individual
300,"Larrison, Troy",Butler (M),35.08,Individual
400,"Cougle, Gavin",Butler (M),48.44,Individual
600,"Cuthbertson, William",Butler (M),1:20.18,Individual
800,"Hamlin, Jesse",Butler (M),1:49.25,Individual
1000,"Dennis, Liam",Butler (M),2:28.15,Individual
Mile,"Hamlin, Jesse",Butler (M),3:56.59,Individual
3000,"Hamlin, Jesse",Butler (M),7:52.06,Individual
5000,"Forrester, Matthew",Butler (M),13:42.27,Individual
60H,"Elder, Jack",Butler (M),8.03,Individual
4x400,"Zac Stanley, Gavin Cougle, Michael Beros, Luke Finnegan",Butler (M),3:13.20,Relay
4x800,"Martin Kovacech, Joe Barrett, William Cuthbertson, Liam Dennis",Butler (M),7:30.85,Relay
DMR,"Martin Kovacech, Michael Beros, Liam Dennis, David Slapak",Butler (M),9:47.47,Relay
HJ,"Herman, Drew",Butler (M),1.95m,Individual
PV,"Walden, Luke",Butler (M),5.00m,Individual
LJ,"Stanley, Zac",Butler (M),7.18m,Individual
TJ,"Craft, Cabott",Butler (M),14.38m,Individual
SP,"Elder, Jack",Butler (M),13.47m,Individual
Hep,"Elder, Jack",Butler (M),5357,Individual
60,"Doerr, Lauren",Butler (F),7.73,Individual
200,"Davis, Jocelyn",Butler (F),25.47,Individual
300,"Reynolds, Clara",Butler (F),41.99,Individual
400,"Kelly, Reagan",Butler (F),57.58,Individual
600,"Fostveit, Abby",Butler (F),1:34.30,Individual
800,"Fostveit, Abby",Butler (F),2:12.80,Individual
Mile,"Olson, Abby",Butler (F),5:01.11,Individual
3000,"Rusthoven, Elsa",Butler (F),9:25.27,Individual
5000,"Klebowska, Wiktoria",Butler (F),16:21.84,Individual
60H,"Wharton, Lily",Butler (F),9.11,Individual
4x400,"Reagan Kelly, Jenna Doezema, Clara Reynolds, Jocelyn Davis",Butler (F),3:51.45,Relay
4x800,"Caitlin Rose, Morgan Walsh, Renate Toldo, Abby Fostveit",Butler (F),9:07.93,Relay
DMR,"Abby Fostveit, Reagan Kelly, Morgan Walsh, Renate Toldo",Butler (F),11:55.49,Relay
HJ,"Wharton, Lily",Butler (F),1.46m,Individual
LJ,"Czirjak, Lucy",Butler (F),5.07m,Individual
TJ,"Czirjak, Lucy",Butler (F),10.74m,Individual
SP,"Wharton, Lily",Butler (F),8.32m,Individual
Pent,"Wharton, Lily",Butler (F),2824,Individual
60,"Hernandez, Rey",North Florida (M),6.91,Individual
200,"Springer, Camden",North Florida (M),21.89,Individual
400,"Springer, Camden",North Florida (M),48.26,Individual
800,"Pedroza, Robert",North Florida (M),1:48.73,Individual
1000,"Lawson, Colton",North Florida (M),2:34.45,Individual
Mile,"Pedroza, Robert",North Florida (M),4:04.49,Individual
3000,"Sinclair, William",North Florida (M),8:16.31,Individual
5000,"Martinez, Seth",North Florida (M),14:29.17,Individual
60H,"Hernandez, Rey",North Florida (M),8.24,Individual
4x400,"Ladarius Tellis, Camden Springer, Rey Hernandez, Ryan Douihech",North Florida (M),3:18.05,Relay
DMR,"Ilias El Khattabi, Rey Hernandez, Ryan Douihech, Robert Pedroza",North Florida (M),9:51.58,Relay
HJ,"Hippo, Jacob",North Florida (M),2.02m,Individual
LJ,"Bailey, Jonathan",North Florida (M),6.34m,Individual
SP,"Tary, Ben",North Florida (M),6.56m,Individual
Hep,"Tary, Ben",North Florida (M),2852,Individual
60,"Batt, Camryn",North Florida (F),7.90,Individual
200,"Epting, Melissa",North Florida (F),26.33,Individual
400,"Kolbe, Smilla",North Florida (F),55.95,Individual
600,"Casa, Navia",North Florida (F),1:40.80,Individual
800,"Kolbe, Smilla",North Florida (F),2:07.21,Individual
Mile,"Kolbe, Smilla",North Florida (F),4:49.71,Individual
3000,"Fisher, Erica",North Florida (F),9:48.12,Individual
5000,"Leen, Isa",North Florida (F),17:16.74,Individual
60H,"Miller, Serenity",North Florida (F),9.61,Individual
4x400,"Celine D'Anna, Smilla Kolbe, Ella Chandler, Melissa Epting",North Florida (F),3:51.07,Relay
DMR,"Ella Chandler, Celine D'Anna, Smilla Kolbe, Ana Markovina",North Florida (F),12:02.46,Relay
HJ,"Shepherd, Nicole",North Florida (F),1.70m,Individual
LJ,"Marchini, Rafaela",North Florida (F),5.12m,Individual
60,"Thompson, Cassie",Jacksonville (F),7.42,Individual
200,"Thompson, Cassie",Jacksonville (F),23.78,Individual
300,"Thompson, Cassie",Jacksonville (F),38.41,Individual
400,"Thompson, Cassidra",Jacksonville (F),54.60,Individual
600,"Field, Eryn",Jacksonville (F),1:45.51,Individual
800,"Leonard, Josephine",Jacksonville (F),2:29.72,Individual
Mile,"Weiler, Madeline",Jacksonville (F),5:15.55,Individual
3000,"Bodrato, Mya",Jacksonville (F),10:14.65,Individual
5000,"Bodrato, Mya",Jacksonville (F),17:28.05,Individual
60H,"Whittington , Joy",Jacksonville (F),8.80,Individual
4x400,"Cassie Thompson, Joanna Rogers, Mariandree Chacon, Cassidra Thompson",Jacksonville (F),3:44.25,Relay
HJ,"Perez-Snyman, Kristi",Jacksonville (F),1.80m,Individual
LJ,"Sue-Kam-Ling , Julia",Jacksonville (F),5.67m,Individual
TJ,"Davis, Ma'kala",Jacksonville (F),12.57m,Individual
SP,"Richard, Alyssia",Jacksonville (F),14.70m,Individual
WT,"Lecointe, Alana",Jacksonville (F),18.08m,Individual
60,"Walker, Shanard",Bethune-Cookman (M),6.88,Individual
200,"Walker, Shanard",Bethune-Cookman (M),21.59,Individual
300,"Walker, Shanard",Bethune-Cookman (M),34.52,Individual
400,"Walker, Shanard",Bethune-Cookman (M),48.99,Individual
600,"King, Ja'Quan",Bethune-Cookman (M),1:21.69,Individual
800,"King, Da'Quon",Bethune-Cookman (M),1:55.74,Individual
1000,"Davis, Isaiah",Bethune-Cookman (M),2:53.87,Individual
Mile,"Brown, Malcolm",Bethune-Cookman (M),4:31.31,Individual
60H,"Richards, Kimani",Bethune-Cookman (M),8.54,Individual
4x400,"Da'Quon King, Dametrion Mallett, Ja'Quan King, Shanard Walker",Bethune-Cookman (M),3:16.07,Relay
DMR,"Da'Quon King, Dametrion Mallett, Jonathan Gaines, Malcolm Brown",Bethune-Cookman (M),11:15.72,Relay
HJ,"Richards, Kimani",Bethune-Cookman (M),1.95m,Individual
PV,"Crumpton, Frederick",Bethune-Cookman (M),2.95m,Individual
LJ,"Moore, Carlos",Bethune-Cookman (M),6.72m,Individual
TJ,"Moore, Carlos",Bethune-Cookman (M),14.00m,Individual
SP,"Washington , Tyler",Bethune-Cookman (M),14.19m,Individual
WT,"Riche, Jordan",Bethune-Cookman (M),14.94m,Individual
Hep,"Davis, Isaiah",Bethune-Cookman (M),4188,Individual
60,"Waring, Amariay",Bethune-Cookman (F),7.75,Individual
200,"Waring, Amariay",Bethune-Cookman (F),25.13,Individual
300,"Butler, Valencia",Bethune-Cookman (F),42.89,Individual
400,"Williams, Alyssa",Bethune-Cookman (F),58.24,Individual
600,"Butler, Valencia",Bethune-Cookman (F),1:41.21,Individual
800,"Butler, Valencia",Bethune-Cookman (F),2:25.82,Individual
Mile,"Mayes, Shyanne",Bethune-Cookman (F),5:46.90,Individual
60H,"Parks, Angel",Bethune-Cookman (F),9.24,Individual
4x400,"Alyssa Williams, Shyanne Mayes, Valencia Butler, Nyidjah Ives",Bethune-Cookman (F),3:56.78,Relay
DMR,"Valencia Butler, Alyssa Williams, Nyidjah Ives, Shyanne Mayes",Bethune-Cookman (F),13:08.94,Relay
HJ,"Price, Ktyal",Bethune-Cookman (F),1.60m,Individual
LJ,"Elliott, Tatiana",Bethune-Cookman (F),4.99m,Individual
SP,"Elliott, Tatiana",Bethune-Cookman (F),11.05m,Individual
WT,"Mitchell-Howard, Amaya",Bethune-Cookman (F),14.28m,Individual
Pent,"Elliott, Tatiana",Bethune-Cookman (F),2321,Individual
200,"Trombley, John",Tampa (M),22.73,Individual
300,"Trombley, John",Tampa (M),35.45,Individual
600,"Morales, Ayden",Tampa (M),1:27.83,Individual
1000,"Popik, Brennen",Tampa (M),2:30.60,Individual
Mile,"McConville, Gabe",Tampa (M),4:11.17,Individual
3000,"McConville, Gabe",Tampa (M),8:23.77,Individual
5000,"Engelhardt, Aaron",Tampa (M),14:39.57,Individual
200,"Nicholas, Camilla",Tampa (F),25.46,Individual
300,"Bolhuis, Jada",Tampa (F),40.55,Individual
600,"York, Elizabeth",Tampa (F),1:43.12,Individual
Mile,"Gordon, Aspen",Tampa (F),5:05.90,Individual
3000,"Gordon, Aspen",Tampa (F),10:01.11,Individual
5000,"Lobdell, Blair",Tampa (F),19:00.79,Individual
DMR,"Emma Skinner, Allie Murphy, Tabitha Suggs, Aspen Gordon",Tampa (F),12:21.42,Relay
60,"Brown, Alexander",Warner (M),6.96,Individual
200,"Brown, Alexander",Warner (M),22.29,Individual
300,"Brown, Alexander",Warner (M),35.56,Individual
400,"Vasquez, Omar",Warner (M),49.97,Individual
600,"Perez, Hector",Warner (M),1:23.32,Individual
800,"Jones, Anton",Warner (M),2:00.24,Individual
1000,"Jones, Anton",Warner (M),2:40.03,Individual
Mile,"Floresta,  Caleb",Warner (M),4:35.16,Individual
3000,"Floresta,  Caleb",Warner (M),9:31.39,Individual
5000,"Floresta,  Caleb",Warner (M),16:54.74,Individual
60H,"Gossett, Daishaun",Warner (M),8.47,Individual
4x400,"Omar Vasquez, Alexander Brown, Nathan Dawes, Daishaun Gossett",Warner (M),3:21.48,Relay
DMR,"Anton Jones, Zachery Russell, Hector Perez, Caleb Floresta",Warner (M),11:05.93,Relay
HJ,"Russell, Zachery",Warner (M),1.94m,Individual
PV,"Grant, Jonathan",Warner (M),4.55m,Individual
LJ,"Dawes, Nathan",Warner (M),6.38m,Individual
TJ,"Dawes, Nathan",Warner (M),12.72m,Individual
60,"Johnson, Nicole",Warner (F),7.43,Individual
200,"Johnson, Nicole",Warner (F),24.82,Individual
300,"Johnson, Nicole",Warner (F),41.70,Individual
400,"Herrera, Geraldine",Warner (F),1:01.13,Individual
800,"White, Stacy",Warner (F),3:25.14,Individual
60H,"Johnson, Selena",Warner (F),9.38,Individual
4x400,"Anaya Findley, Shakira Conway, Stacy White, Geraldine Herrera",Warner (F),4:18.07,Relay
HJ,"Johnson, Selena",Warner (F),1.51m,Individual
LJ,"Johnson, Selena",Warner (F),5.30m,Individual
TJ,"Johnson, Selena",Warner (F),12.03m,Individual
SP,"Emerson, Ellie",Warner (F),10.83m,Individual
Pent,"Johnson, Selena",Warner (F),2381,Individual
60,"Oluwatomisin, Oluwaloleyi",Florida Tech (M),7.28,Individual
200,"Erskine, Bradley",Florida Tech (M),23.67,Individual
400,"Erskine, Bradley",Florida Tech (M),54.79,Individual
600,"Martingano, Jaiden",Florida Tech (M),1:29.84,Individual
800,"Martingano, Jaiden",Florida Tech (M),2:02.82,Individual
1000,"Martingano, Jaiden",Florida Tech (M),2:37.21,Individual
Mile,"Martingano, Jaiden",Florida Tech (M),4:38.59,Individual
3000,"Haner, Brycen",Florida Tech (M),9:17.07,Individual
DMR,"Luke Aagaard, Brycen Haner, Jaiden Martingano, Jack Schule",Florida Tech (M),11:35.68,Relay
